scale,outcome,sample,N,R2,beta_scale,se_scale,p_scale,beta_omega,p_omega,beta_kappa,p_kappa,baseline_controlled
AMI_Behavioural,pre_at_lowT,exploratory,290,0.2558196862656592,0.2563125005249619,0.05101091224171392,8.900517836930422e-07,0.2625889495245417,2.7415455722417937e-06,-0.4582374787354291,2.956680108155687e-15,False
AMI_Behavioural,pre_at_lowT,confirmatory,279,0.3260201654206252,0.29846044281105205,0.04991724131912389,6.9485611820301925e-09,0.25765086565396966,3.28239949755492e-06,-0.5463165646288687,4.200535582942155e-21,False
AMI_Behavioural,pre_at_midT,exploratory,290,0.22325971507986542,0.2622920442827007,0.05211490094381665,8.553759621092424e-07,0.2528939158477504,9.433507500417151e-06,-0.4084115245576284,3.141348436411382e-12,False
AMI_Behavioural,pre_at_midT,confirmatory,279,0.31264169590422786,0.27623410077701127,0.05041023436993823,9.629719349644067e-08,0.26345430266654757,2.497924533841471e-06,-0.5419564751593483,1.62383719893e-20,False
AMI_Behavioural,pre_at_highT,exploratory,290,0.23469306227716968,0.2338899880563811,0.051729922384107986,9.008529543095696e-06,0.3287624206032623,9.83039607049698e-09,-0.41599712288511115,9.442720608266982e-13,False
AMI_Behavioural,pre_at_highT,confirmatory,279,0.3198070738750376,0.27296615693693504,0.05014679485434859,1.1585221269657706e-07,0.3034114137234854,6.130994473719097e-08,-0.5419231065327175,1.1006542159224217e-20,False
AMI_Behavioural,pre_slope_T,exploratory,290,0.05127939511181434,-0.011263387615140084,0.05759611207127393,0.8450949033497879,0.21540399664108947,0.0005868195688554001,0.02561836874654735,0.6795677012880954,False
AMI_Behavioural,pre_slope_T,confirmatory,279,0.03567010943462667,-0.06407160532645975,0.05970901940965065,0.2841830704431384,0.19652466848342867,0.002688410768674088,-0.03980882805646745,0.5327296006658608,False
AMI_Behavioural,abs_peak_strike,exploratory,290,0.2311247270717971,-0.1383161361975503,0.0518503806123009,0.008075041239352926,0.12717899676406483,0.023338933632939124,-0.49207958014505154,1.1339961733104e-16,False
AMI_Behavioural,abs_peak_strike,confirmatory,279,0.3248096446924559,-0.218505570016454,0.04996204885204543,1.73721640208713e-05,0.22828620139555642,3.539585174417851e-05,-0.5407409159726096,9.823328150896811e-21,False
AMI_Behavioural,peak_post,exploratory,290,0.5943323610833766,0.04179562716537566,0.03886409425941211,0.2830916647598938,0.27016539194143857,2.4062483906443727e-10,-0.37721369001778365,1.0071020982418385e-17,True
AMI_Behavioural,accel_post,exploratory,290,0.03982373404014905,0.026878428205575924,0.05794280092734656,0.643087553220941,0.17815327991531374,0.004574651542511837,-0.17385393114949396,0.005638837646040814,False
AMI_Social,pre_at_lowT,exploratory,290,0.2815365098183986,0.30439593163965734,0.05046141543668017,4.990011248330627e-09,0.226221062860431,4.016358147885782e-05,-0.4318673415758335,3.492943549123231e-14,False
AMI_Social,pre_at_lowT,confirmatory,279,0.2856881144787352,0.22049445072183627,0.051679157722570736,2.7332382861302535e-05,0.23149158362695704,5.607476647555442e-05,-0.5062887319962344,5.5871600072256486e-18,False
AMI_Social,pre_at_midT,exploratory,290,0.24468791634368414,0.30241195218838085,0.05173926951010843,1.3794692654107257e-08,0.21672238826289256,0.00012103194367184089,-0.3822197519306063,3.537348001068491e-11,False
AMI_Social,pre_at_midT,confirmatory,279,0.2827773054603291,0.21555196058211903,0.051784346523707996,4.214956759886481e-05,0.23718331216376656,3.84327062095061e-05,-0.5044854981896368,8.08386246591519e-18,False
AMI_Social,pre_at_highT,exploratory,290,0.24850559122074378,0.26353228945142987,0.05160834751174171,6.004153730783922e-07,0.2972130080126939,1.725996313256802e-07,-0.39317721467894384,9.516255656541732e-12,False
AMI_Social,pre_at_highT,confirmatory,279,0.28373166238264924,0.1956052950288709,0.05174988219271294,0.00019248079077162432,0.2805732092128085,1.2733072705596506e-06,-0.5055380986332826,6.745649371687823e-18,False
AMI_Social,pre_slope_T,exploratory,290,0.05358105780820266,-0.04961479010902855,0.0579160305307314,0.3923457949457919,0.22116950081478204,0.0004446060885728947,0.021294299747161276,0.7318803945719338,False
AMI_Social,pre_slope_T,confirmatory,279,0.03637537986654227,-0.06983407648668204,0.06002406895184614,0.24566171480070495,0.2061781714016139,0.0018833465070410148,-0.04923294687839242,0.438290372266527,False
AMI_Social,abs_peak_strike,exploratory,290,0.22436193235251845,-0.11196667632945749,0.05243081810394551,0.03356856014035358,0.14079043600957805,0.013026763746802342,-0.5017420101699481,5.4447757027509486e-17,False
AMI_Social,abs_peak_strike,confirmatory,279,0.32410422370479086,-0.21808222754790366,0.05027028586260655,2.0192954501691034e-05,0.2576051634166035,4.465743401372056e-06,-0.5721386763879635,8.415895447022016e-23,False
AMI_Social,peak_post,exploratory,290,0.5962651672124718,0.062307968838093246,0.03920002361834886,0.11305891529436599,0.2637681621123568,5.701576940549929e-10,-0.3728283812020027,1.8552137203452704e-17,True
AMI_Social,accel_post,exploratory,290,0.04372945510530302,0.06849260660103322,0.058216684169134454,0.2403687790724954,0.17013383022820328,0.006940745944825102,-0.16789421900622392,0.007563128207511241,False
