subj,subj_idx,alpha_bayes,alpha_sd,rho_bayes,rho_sd,gamma_bayes,gamma_sd,alpha_ols,rho_ols
226,225,0.011091145,0.030044341,0.15545563,0.029498016,0.566937,0.023496797,0.007802153796268467,0.2174604
227,226,0.12574494,0.03132552,0.12751187,0.02976184,0.649351,0.02353522,0.12332785396875758,0.16991723
228,227,0.025719633,0.029453505,0.04984769,0.029775593,0.5847621,0.024117002,0.02274324769149592,0.040181994
229,228,0.11137143,0.030156085,0.07761638,0.029850937,0.7260665,0.024312709,0.10867525303842021,0.08302355
230,229,0.5510585,0.030895434,0.06079984,0.028656717,0.6874347,0.023175025,0.5539333586085914,0.05627656
231,230,0.055428818,0.030537302,0.040589925,0.029470835,0.6684067,0.02378277,0.052248361774218474,0.023318946
232,231,0.004280061,0.029463911,0.06613639,0.029022578,0.5820778,0.023725802,4.5500784852844e-14,0.067172885
233,232,0.10325324,0.029608157,0.063689694,0.030170145,0.67920023,0.024621382,0.1006724784972241,0.060826182
234,233,0.8011107,0.030454757,0.22272249,0.03133087,0.73469746,0.024550444,0.8065593147240319,0.32634288
235,234,0.024985814,0.030346302,0.018398777,0.029818598,0.67101145,0.023636714,0.021712159603196342,-0.015520573
236,235,0.32936054,0.029854983,0.06585505,0.029293222,0.56861794,0.023853479,0.330026242808363,0.06614423
237,236,0.6403195,0.030617261,0.13112088,0.02985886,0.74946064,0.02446089,0.6435959141429825,0.1707285
238,237,0.015222,0.031053193,0.05438515,0.029311653,0.7696188,0.023327848,0.011807895399137106,0.043268144
239,238,0.014054487,0.030721813,0.03295872,0.03052929,0.62903184,0.02378946,0.010970273055374801,0.011919856
240,239,0.5607161,0.029567474,0.058011692,0.029897792,0.54392576,0.023803338,0.563964616206103,0.05400461
241,240,0.05330975,0.031172218,0.06156118,0.030080533,0.7101185,0.024260135,0.05048991655273787,0.055654585
242,241,0.12684391,0.02993792,0.013228151,0.029843872,0.6876775,0.024373276,0.12436641401328873,-0.022964835
243,242,0.48130217,0.030073097,0.021162927,0.030664928,0.6336668,0.024590027,0.4828919693576115,-0.008891344
244,243,0.05148405,0.03149524,0.07956011,0.030293494,0.7474609,0.024555473,0.048563419949111515,0.08665079
245,244,0.3066365,0.030541493,0.057371516,0.029285708,0.7103835,0.02377744,0.30677493543282786,0.050189853
246,245,0.0038487301,0.030188892,0.06936018,0.029415175,0.60974663,0.023701152,4.0950450525396575e-18,0.072526395
247,246,0.053654086,0.029903844,0.07368133,0.030089373,0.6108652,0.024544885,0.0508421333603289,0.07978916
248,247,0.05818281,0.030423405,0.068903744,0.029298292,0.6497722,0.023594063,0.05591727627982794,0.07005942
