subj,event_idx,rating,p_threat,dist_safety,pre_threat,pre_effort_H,pre_term_mean,pre_onset_slope,fol_threat,fol_onset_slope,fol_term_mean
10,0,7,0.5,7.0,,,,,0.9,0.3386421181001239,0.0674552470445633
10,13,6,0.5,4.0,0.5,1.0,0.13310149312019348,-0.11999557524592837,0.1,-0.1518979424942322,0.07167524099349976
10,15,4,0.5,5.0,0.1,0.8,0.07167524099349976,-0.1518979424942322,0.1,-0.2820368979705671,0.09096677601337433
10,26,4,0.1000000014901161,9.0,0.1,0.6,0.1374194473028183,-0.1380520917495881,0.5,-0.04838167842166828,0.24660158157348633
10,3,7,0.8999999761581421,5.0,0.5,1.0,-0.10511865466833115,-0.2970353300337363,0.5,-0.29718938831150277,-0.39560672640800476
10,36,6,0.5,9.0,0.1,0.8,-0.009466427378356457,-0.26931289142547804,0.1,-0.28188532688873186,0.23088164627552032
10,40,7,0.8999999761581421,7.0,0.9,0.6,0.07028394192457199,-0.23792591970000257,0.1,-0.20287949036070985,0.1608424335718155
10,42,5,0.5,9.0,0.1,1.0,0.1608424335718155,-0.20287949036070985,0.1,0.02372915858012931,0.2801404297351837
10,48,4,0.1000000014901161,7.0,0.9,0.6,0.27754107117652893,-0.004347415522372972,0.1,-0.26885894899233237,0.15661749243736267
10,50,5,0.5,7.0,0.1,0.8,0.15661749243736267,-0.26885894899233237,0.5,0.04028448413844082,0.28933411836624146
10,54,6,0.8999999761581421,7.0,0.9,0.6,0.2873792052268982,-0.29062905629816355,0.9,0.07789296379332525,0.27500906586647034
10,56,7,0.8999999761581421,9.0,0.9,0.8,0.27500906586647034,0.07789296379332525,0.1,-0.2304744753028625,0.15759821236133575
10,58,4,0.1000000014901161,7.0,0.1,1.0,0.15759821236133575,-0.2304744753028625,0.5,-0.04160647788840809,0.22965577244758606
10,64,7,0.8999999761581421,9.0,0.9,0.8,0.24806161224842072,-0.09419022174874186,0.1,-0.1815172022231078,0.10842428356409073
10,68,5,0.1000000014901161,5.0,0.1,0.6,0.12462480366230011,-0.14773782959363677,0.5,0.06907870295579659,0.2843399941921234
10,75,6,0.8999999761581421,4.0,0.5,1.0,0.2917625308036804,-0.021578508778969493,0.5,0.2767206928180831,0.20258161425590515
10,77,4,0.1000000014901161,9.0,0.5,1.0,0.20258161425590515,0.2767206928180831,0.9,-0.14263014240420288,0.34548497200012207
10,80,3,0.1000000014901161,5.0,0.5,0.6,0.33136048913002014,0.24159185751810655,,,
11,0,5,0.5,9.0,,,,,0.5,-0.29718938831150277,-0.36290717124938965
11,15,7,0.8999999761581421,9.0,0.9,0.6,0.213907390832901,0.06636505241041019,0.1,-0.28203698436614993,0.10233894735574722
11,25,4,0.1000000014901161,9.0,0.5,0.6,0.018630584701895714,-0.24099277093505708,0.9,0.21299210606521393,0.276807963848114
11,33,5,0.8999999761581421,5.0,0.5,0.8,0.1828136444091797,-0.2801235154443747,0.1,0.05634543292863936,0.2679559588432312
11,35,7,0.1000000014901161,9.0,0.1,1.0,0.2679559588432312,0.05634543292863936,0.9,-0.19280887695447796,-0.001166564179584384
11,37,7,0.1000000014901161,5.0,0.9,1.0,-0.001166564179584384,-0.19280887695447796,0.5,-0.29718831293571407,0.13927116990089417
