subj,alpha_v,delta,r,p,n_trials,delta_sh_r,delta_sh_r_corrected
207,0.002730469279001816,-0.007049982154799638,-0.03598962883193747,0.8144354013755253,45,-0.3204305875777517,-0.9430400536587225
208,0.004867710253133754,-0.012818525632397479,-0.021895166942535474,0.8878132157473936,44,-0.3204305875777517,-0.9430400536587225
209,0.024291870253025132,-0.06272081253854872,-0.1522656252691022,0.31802559642522166,45,-0.3204305875777517,-0.9430400536587225
210,-0.024633519289635194,0.06360293914946788,0.11998169349002138,0.4324214103599378,45,-0.3204305875777517,-0.9430400536587225
211,-0.008151389930141804,0.021046621540939787,0.04152028900700981,0.7865406054292401,45,-0.3204305875777517,-0.9430400536587225
212,0.01598631499192342,-0.04114583580093934,-0.06810681035012955,0.6604626755277101,44,-0.3204305875777517,-0.9430400536587225
213,0.028561237302704618,-0.07246178821444019,-0.15114748532437594,0.32739348030999493,44,-0.3204305875777517,-0.9430400536587225
214,-0.014219709948892042,0.036036785498563324,0.07633852678711418,0.6223555997962475,44,-0.3204305875777517,-0.9430400536587225
215,-0.01169940511764439,0.030207480426704732,0.11379595248871381,0.4566901507782213,45,-0.3204305875777517,-0.9430400536587225
216,0.014584856806754332,-0.03765762208301344,-0.10091963328344802,0.509493783957647,45,-0.3204305875777517,-0.9430400536587225
217,0.032084784475013214,-0.08323170560871056,-0.0477609452988031,0.763905112256371,42,-0.3204305875777517,-0.9430400536587225
218,-0.008884515048600296,0.022939526559910686,0.05553731849122772,0.717089188736929,45,-0.3204305875777517,-0.9430400536587225
219,-0.021551656516135907,0.05564567051297386,0.12323390454631539,0.4199567759142152,45,-0.3204305875777517,-0.9430400536587225
220,-0.028252458122156845,0.07294692056130664,0.1257898080013345,0.41030548504736164,45,-0.3204305875777517,-0.9430400536587225
221,0.018427678785195863,-0.047615143169801276,-0.06311186625768202,0.6840145502279261,44,-0.3204305875777517,-0.9430400536587225
222,0.021456971138397923,-0.055401195972093,-0.20662855147527018,0.1732451672324292,45,-0.3204305875777517,-0.9430400536587225
